date,EST,TAM,value
22/01/2021,SFE,PM2.5,16
23/01/2021,SFE,PM2.5,19
24/01/2021,SFE,PM2.5,13
25/01/2021,SFE,PM2.5,10
26/01/2021,SFE,PM2.5,12
27/01/2021,SFE,PM2.5,18
28/01/2021,SFE,PM2.5,9
29/01/2021,SFE,PM2.5,20
30/01/2021,SFE,PM2.5,19
31/01/2021,SFE,PM2.5,15
01/02/2021,SFE,PM2.5,12
02/02/2021,SFE,PM2.5,20
03/02/2021,SFE,PM2.5,9
04/02/2021,SFE,PM2.5,11
05/02/2021,SFE,PM2.5,17
06/02/2021,SFE,PM2.5,13
07/02/2021,SFE,PM2.5,19
08/02/2021,SFE,PM2.5,9
09/02/2021,SFE,PM2.5,18
10/02/2021,SFE,PM2.5,17
11/02/2021,SFE,PM2.5,10
12/02/2021,SFE,PM2.5,6
13/02/2021,SFE,PM2.5,6
14/02/2021,SFE,PM2.5,7
16/02/2021,SFE,PM2.5,8
17/02/2021,SFE,PM2.5,11
18/02/2021,SFE,PM2.5,14
19/02/2021,SFE,PM2.5,30
21/02/2021,SFE,PM2.5,23
22/02/2021,SFE,PM2.5,23
23/02/2021,SFE,PM2.5,23
24/02/2021,SFE,PM2.5,15
25/02/2021,SFE,PM2.5,19
26/02/2021,SFE,PM2.5,23
27/02/2021,SFE,PM2.5,23
28/02/2021,SFE,PM2.5,20
01/03/2021,SFE,PM2.5,21
02/03/2021,SFE,PM2.5,32
11/03/2021,SFE,PM2.5,17
12/03/2021,SFE,PM2.5,20
13/03/2021,SFE,PM2.5,31
14/03/2021,SFE,PM2.5,22
15/03/2021,SFE,PM2.5,22
16/03/2021,SFE,PM2.5,17
17/03/2021,SFE,PM2.5,14
18/03/2021,SFE,PM2.5,22
19/03/2021,SFE,PM2.5,26
20/03/2021,SFE,PM2.5,26
21/03/2021,SFE,PM2.5,19
22/03/2021,SFE,PM2.5,13
23/03/2021,SFE,PM2.5,10
24/03/2021,SFE,PM2.5,12
04/05/2021,SFE,PM2.5,20
05/05/2021,SFE,PM2.5,27
06/05/2021,SFE,PM2.5,18
07/05/2021,SFE,PM2.5,14
08/05/2021,SFE,PM2.5,19
09/05/2021,SFE,PM2.5,22
10/05/2021,SFE,PM2.5,17
11/05/2021,SFE,PM2.5,23
12/05/2021,SFE,PM2.5,16
13/05/2021,SFE,PM2.5,7
14/05/2021,SFE,PM2.5,7
15/05/2021,SFE,PM2.5,16
16/05/2021,SFE,PM2.5,12
17/05/2021,SFE,PM2.5,10
18/05/2021,SFE,PM2.5,15
19/05/2021,SFE,PM2.5,14
20/05/2021,SFE,PM2.5,13
21/05/2021,SFE,PM2.5,17
22/05/2021,SFE,PM2.5,18
23/05/2021,SFE,PM2.5,22
24/05/2021,SFE,PM2.5,14
25/05/2021,SFE,PM2.5,15
26/05/2021,SFE,PM2.5,17
27/05/2021,SFE,PM2.5,12
28/05/2021,SFE,PM2.5,20
29/05/2021,SFE,PM2.5,24
30/05/2021,SFE,PM2.5,14
31/05/2021,SFE,PM2.5,18
01/06/2021,SFE,PM2.5,18
02/06/2021,SFE,PM2.5,10
03/06/2021,SFE,PM2.5,15
04/06/2021,SFE,PM2.5,12
05/06/2021,SFE,PM2.5,17
06/06/2021,SFE,PM2.5,16
07/06/2021,SFE,PM2.5,11
08/06/2021,SFE,PM2.5,15
09/06/2021,SFE,PM2.5,21
10/06/2021,SFE,PM2.5,9
11/06/2021,SFE,PM2.5,13
12/06/2021,SFE,PM2.5,14
13/06/2021,SFE,PM2.5,12
14/06/2021,SFE,PM2.5,5
15/06/2021,SFE,PM2.5,7
16/06/2021,SFE,PM2.5,10
17/06/2021,SFE,PM2.5,8
18/06/2021,SFE,PM2.5,5
19/06/2021,SFE,PM2.5,2
20/06/2021,SFE,PM2.5,5
